pacman_x,pacman_y,ghost1_x,ghost1_y,ghost2_x,ghost2_y,ghost3_x,ghost3_y,ghost4_x,ghost4_y,ghost1_direction,ghost2_direction,ghost3_direction,ghost4_direction,nearest_pellet_x,nearest_pellet_y,possible_move_up,possible_move_down,possible_move_left,possible_move_right,move_made_up,move_made_down,move_made_left,move_made_right
175,460,180,340,360,280,230,330,310,330,2,-1,-1,-1,160,460,0,0,1,1,0,0,1,0
145,460,150,340,360,310,230,360,310,360,2,-1,1,1,140,460,0,0,1,1,0,0,1,0
120,385,120,260,420,320,230,330,310,330,1,1,1,1,120,380,1,1,0,0,1,0,0,0
420,195,487,160,322,280,417,160,420,272,2,2,2,-1,420,200,1,1,0,0,0,1,0,0
520,185,420,177,305,280,332,160,292,280,-1,-2,2,2,420,240,1,1,0,0,0,1,0,0
405,160,200,280,520,145,170,340,145,460,2,-1,-2,2,420,260,0,0,1,1,0,0,0,1
300,485,240,150,420,275,520,580,235,580,-1,-1,-1,2,300,500,1,1,0,0,0,1,0,0
430,460,380,340,520,625,360,530,300,615,-2,-1,1,-1,420,480,0,0,1,1,0,0,1,0
330,580,490,340,425,640,260,520,215,640,-2,2,2,2,320,580,0,0,1,1,0,0,1,0
240,615,37,340,337,640,180,527,127,640,-2,2,-1,2,240,600,1,1,0,0,1,0,0,0
35,460,110,220,125,640,307,520,65,580,2,2,2,-2,20,460,0,0,1,1,0,0,1,0
55,520,20,217,32,640,142,520,120,542,1,2,2,1,60,520,0,0,1,1,0,0,0,1
325,640,410,160,420,120,420,640,300,505,2,1,2,-1,220,520,0,0,1,1,0,0,1,0
420,540,125,160,455,160,360,535,240,610,2,2,1,-1,220,520,1,1,0,0,0,1,0,0
500,520,25,80,485,80,465,580,90,640,2,-2,-2,2,220,520,0,0,1,1,0,0,0,1
260,520,120,365,420,335,300,585,180,560,-1,-1,1,-1,220,520,0,0,1,1,0,0,1,0
180,175,120,130,370,140,230,360,310,360,1,-2,1,1,180,160,1,1,0,0,1,0,0,0
410,460,480,455,360,335,360,315,285,340,-1,-1,-1,2,400,460,0,0,1,1,0,0,1,0
355,460,430,460,360,390,360,370,270,300,2,-1,-1,1,340,460,0,0,1,1,0,0,1,0
480,535,520,612,447,460,427,460,407,580,1,-2,-2,-2,480,520,1,1,0,0,1,0,0,0
410,580,480,510,510,380,490,380,490,640,1,-2,-2,-2,420,600,0,0,1,1,0,0,0,1
365,640,480,447,520,327,520,347,520,607,1,1,1,1,280,640,0,0,1,1,0,0,1,0
